id,instrument,code,name,position,row,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percussion,harp,piano,column
1079,Contrebasse,Rav2,La Valse (RAVEL) - Configuration 2,P15,15,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,P
1082,Contrebasse,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1091,Contrebasse,Moz1,Symphonie n°41 (MOZART) - Configuration 1,P17,17,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,P
1092,Contrebasse,Moz2,Symphonie n°41 (MOZART) - Configuration 2,P17,17,3,3,3,3,3,3,3,0,3,3,3,0,3,3,0,0,P
1093,Contrebasse,Moz3,Symphonie n°41 (MOZART) - Configuration 3,K9,9,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,K
1094,Contrebasse,Moz4,Symphonie n°41 (MOZART) - Configuration 4,K11,11,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,K
1104,Contrebasse,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,R16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,R
1105,Contrebasse,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,F16,16,3,3,2,2,3,3,3,3,3,3,3,3,3,3,0,0,F
1106,Contrebasse,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,H12,12,2,2,2,3,3,3,3,3,3,3,3,3,3,3,0,0,H
1107,Contrebasse,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,H16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,H
1108,Contrebasse,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,H16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,H
1109,Contrebasse,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,H7,7,2,2,1,1,3,2,2,2,2,3,3,3,3,2,0,0,H
1110,Contrebasse,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,F16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,F
1111,Contrebasse,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,E16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,E
1112,Contrebasse,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,J9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,J
1113,Contrebasse,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,H11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,H
1114,Contrebasse,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,K9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,K
1115,Contrebasse,Rav1,La Valse (RAVEL) - Configuration 1,K6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,K
1116,Contrebasse,Rav2,La Valse (RAVEL) - Configuration 2,R16,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,R
1117,Contrebasse,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,I7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,I
1118,Contrebasse,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,E16,16,3,3,3,2,2,3,3,3,3,5,4,4,4,3,3,3,E
1119,Contrebasse,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,J5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,J
1120,Contrebasse,Moz1,Symphonie n°41 (MOZART) - Configuration 1,P18,18,4,3,2,2,2,3,3,0,3,3,3,0,0,2,0,0,P
1121,Contrebasse,Moz2,Symphonie n°41 (MOZART) - Configuration 2,P18,18,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,P
1122,Contrebasse,Moz3,Symphonie n°41 (MOZART) - Configuration 3,M9,9,2,2,2,1,3,3,3,0,3,3,3,0,0,3,0,0,M
1123,Contrebasse,Moz4,Symphonie n°41 (MOZART) - Configuration 4,M9,9,3,3,2,3,3,2,2,0,3,3,3,0,0,3,0,0,M
1124,Contrebasse,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,P18,18,3,3,3,3,2,3,3,2,2,3,3,0,0,3,0,0,P
1125,Contrebasse,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,M11,11,3,3,3,3,3,2,2,2,3,2,3,0,0,3,0,0,M
1126,Contrebasse,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,J14,14,3,3,2,1,2,3,3,2,2,2,2,0,0,2,0,0,J
1127,Contrebasse,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,I14,14,2,2,1,1,2,2,2,2,1,2,2,0,0,2,0,0,I
1128,Contrebasse,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,Q18,18,3,3,3,3,3,2,2,2,2,3,3,0,0,2,0,0,Q
1129,Contrebasse,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,M11,11,3,3,3,2,3,3,3,3,3,3,3,0,0,3,0,0,M
1130,Contrebasse,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,N12,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,N
1131,Contrebasse,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,Q17,17,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0,0,Q
1132,Contrebasse,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,I14,14,3,3,3,3,NA,3,3,3,2,3,3,3,3,3,0,0,I
1133,Contrebasse,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,M9,9,3,3,3,3,3,3,3,3,3,3,3,2,2,3,0,0,M
1134,Contrebasse,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,M11,11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,M
1142,Contrebasse,Rav1,La Valse (RAVEL) - Configuration 1,L5,5,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,0,L
1143,Contrebasse,Rav2,La Valse (RAVEL) - Configuration 2,P14,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,P
1144,Contrebasse,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,L9,9,3,3,3,3,2,3,3,3,3,4,4,4,3,4,3,3,L
