id,instrument,code,name,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percusssion,harp,piano,column,row
614,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,G,2
627,Cor,Moz1,Symphonie n°41 (MOZART) - Configuration 1,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
628,Cor,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
629,Cor,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
630,Cor,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,3,3,3,0,3,3,3,0,0,3,0,0,B,1
639,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,4,4,3,3,3,3,3,3,3,2,3,3,3,3,0,0,G,2
640,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,G,2
641,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,G,2
642,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,3,3,3,3,3,3,3,3,3,2,4,4,4,3,0,0,G,2
643,Cor,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,G,2
644,Cor,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,3,3,3,3,2,3,3,3,3,3,4,4,4,3,0,0,G,2
645,Cor,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,3,3,3,3,3,2,2,2,2,3,5,5,3,4,0,0,G,2
646,Cor,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,3,3,3,3,3,3,3,3,3,3,4,4,4,5,0,0,G,2
655,Basson,Moz1,Symphonie n°41 (MOZART) - Configuration 1,5,5,4,3,3,2,2,0,2,3,4,0,0,5,0,0,B,1
656,Basson,Moz2,Symphonie n°41 (MOZART) - Configuration 2,3,3,3,3,3,3,3,0,2,3,5,0,0,5,0,0,M,3
657,Basson,Moz3,Symphonie n°41 (MOZART) - Configuration 3,3,3,3,3,2,3,2,0,2,3,4,0,0,5,0,0,H,2
658,Basson,Moz4,Symphonie n°41 (MOZART) - Configuration 4,3,3,3,3,2,2,2,0,3,3,4,0,0,4,0,0,B,1
659,Basson,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,5,5,3,2,3,2,3,2,2,3,5,0,0,5,0,0,B,1
660,Basson,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,3,3,3,3,3,3,3,3,4,0,0,5,0,0,F,2
661,Basson,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,3,3,3,3,2,3,3,3,2,3,3,0,0,5,0,0,G,2
662,Basson,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,3,3,3,3,2,2,2,2,2,4,4,0,0,5,0,0,C,1
667,Basson,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,3,3,3,3,3,2,2,2,2,3,3,3,3,3,0,0,G,2
668,Basson,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,3,3,3,2,3,3,3,3,3,3,4,3,3,4,0,0,H,2
669,Basson,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,E,2
670,Basson,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,0,0,H,2
671,Basson,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,H,2
672,Basson,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,0,0,H,2
673,Basson,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,3,3,3,3,3,3,3,3,4,3,5,4,3,4,0,0,H,2
674,Basson,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,3,3,3,3,3,3,3,3,2,3,4,4,3,5,0,0,H,2
687,Basson,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,3,3,2,3,2,3,3,2,2,4,3,0,0,3,0,0,B,1
688,Basson,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,3,3,2,3,3,2,3,2,2,3,3,0,0,3,0,0,I,2
689,Basson,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,3,3,2,3,3,3,3,2,2,3,3,0,0,3,0,0,M,3
690,Basson,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,M,3
715,Basson,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,3,2,3,3,3,2,3,1,1,3,3,0,0,3,0,0,B,1
716,Basson,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,3,2,3,3,3,2,3,1,1,3,3,0,0,3,0,0,G,2
717,Basson,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,3,3,3,3,3,2,3,1,1,4,3,0,0,3,0,0,G,2
718,Basson,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,3,3,3,3,3,2,3,1,1,4,3,0,0,3,0,0,B,1
719,Basson,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,3,3,3,3,3,2,3,1,2,3,3,0,0,3,0,0,B,1
720,Basson,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,3,3,3,3,3,2,3,1,2,3,3,0,0,3,0,0,G,2
721,Basson,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,3,3,3,3,3,2,2,1,1,3,3,0,0,4,0,0,G,2
722,Basson,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,3,3,3,3,3,2,2,1,1,3,3,0,0,4,0,0,B,1
723,Basson,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,3,3,3,3,3,3,3,2,3,3,4,3,4,4,0,0,G,2
724,Basson,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,3,3,3,3,3,3,3,2,3,3,4,3,4,4,0,0,D,2
725,Basson,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,3,3,3,3,4,2,3,3,2,3,4,3,4,3,0,0,D,2
726,Basson,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,3,3,3,3,4,2,3,3,2,3,4,3,4,3,0,0,G,2
727,Basson,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,3,3,3,3,3,2,2,2,2,3,3,3,4,4,0,0,G,2
728,Basson,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,3,3,3,3,3,2,2,2,2,3,3,3,4,4,0,0,J,2
729,Basson,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,3,3,3,3,2,3,2,2,2,2,3,3,4,3,0,0,J,2
730,Basson,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,3,3,3,3,4,3,2,2,2,2,3,3,4,3,0,0,G,2
731,Basson,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,B,1
732,Basson,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,3,3,3,3,4,3,3,3,3,3,3,3,4,4,0,0,B,1
733,Basson,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,0,0,B,1
734,Basson,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,3,3,3,3,3,3,3,3,3,3,4,3,3,5,0,0,B,1
